Month,Y,I,A,C,D,NAS,HE,GA,L,S,TD,EP,J,ED,PREX,FS,T,HH,E,SI,LC,PR,II,ITC,TC,SBA,VA,GS,FEM,CR,PM,JU,NS,AE,NF,W,P,CS,FT,ER,PE,GP,SSA,FR,IC,AA,PRVP,HS,SE,CSA,CC,NMB,N,MS,LR,FE,AC,IA,NCU,FP,FW,CAB,RR,FCA,NC,NA,MN,M,FAA,FHL,MC,PHE,FA,FMC,LGA,DC,OED,F,FL,ID,B,U,ONR,PL,CZ,OP,NHA,AR,CNF,UNI,AG,LGL,NASA,FM,SS,G,PA,GB,ES,ICA,OH,FCD,SB,OYR,OD,CA,PAT,FO,H,OGA,PGA,OT,CI,Z,OHW,OAE,OEP,STT,WT,PCA,PAG,NAT,AS,SCP,WY,CNG,HGY,LGH,X,MA,TA,TS,GAO,FTZ,FC,RL,PPW,PAC,FF,EC,EB,JA,DT,JUL,TF,OAG,OAU,OIE,OUC,OHU,OCM,OTP,WHO,PYH,PTR,PCO,RP,OAD,STH,EV,OSU,CNW,OYY,RS,UF,OL,PER,RNB,ESC,SQ,ATC,WA,VB
2016-09,108983,21799,20688,17032,10642,9874,7414,5824,5109,4590,3414,3222,3142,2732,1049,3994,1171,1128,936,972,906,401,786,745,605,560,553,392,344,384,367,151,293,279,273,210,1620,224,212,188,155,140,123,121,142,120,75,67,62,66,67,38,58,54,51,45,40,40,38,27,22,34,27,21,21,19,0,20,594,15,11,0,8,32,0,7,0,10,6,6,7,1,0,0,6,4,3,4,0,0,0,0,39,4,2,5,3,3,3,3,1,2,2,0,0,2,0,2,15,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36,0,1,1,24,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
2016-10,109045,21823,20725,17043,10664,9877,7421,5828,5112,4598,3441,3223,3144,2734,1050,3995,1172,1129,949,972,906,401,787,745,606,561,553,393,344,384,367,151,293,279,273,210,1622,224,212,188,155,140,123,122,142,120,75,68,62,66,67,38,58,54,51,45,41,40,38,27,22,34,27,21,21,19,0,20,594,15,11,0,8,32,0,7,0,10,6,6,7,1,0,0,6,4,3,5,0,0,0,0,39,4,2,5,3,3,3,3,1,2,2,0,0,2,0,2,15,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36,0,1,1,24,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
2016-11,109256,21978,20751,17070,10667,9890,7467,5876,5149,4610,3484,3234,3191,2752,1051,3997,1183,1129,1056,975,916,401,786,745,606,563,555,394,347,384,370,152,296,280,273,210,1631,224,213,189,155,140,126,122,142,121,75,68,62,66,67,38,58,55,51,45,41,40,38,27,22,34,27,21,21,19,0,20,594,15,11,0,8,32,0,7,0,10,6,6,7,1,0,0,6,4,3,5,0,0,0,0,39,4,2,5,3,3,3,3,1,2,2,0,0,2,0,2,15,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,36,0,1,1,24,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
2016-12,109569,22454,20903,17112,10690,9902,7678,5891,5179,4626,3564,3259,3259,2777,1065,4013,1201,1158,1085,993,943,413,779,745,607,566,556,407,388,384,371,154,296,280,274,221,1649,224,214,191,155,141,129,123,143,121,75,68,68,66,67,60,60,56,54,52,41,40,39,33,32,34,27,23,21,19,0,21,596,16,11,0,9,33,0,7,0,11,7,6,7,1,0,0,6,6,5,5,0,0,0,0,39,4,2,5,3,3,3,3,1,3,2,0,0,2,0,2,15,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,38,0,1,1,24,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
2017-01,109601,22526,20951,17139,10700,9905,7690,5897,5188,4635,3572,3260,3278,2778,1065,4017,1215,1159,1097,993,945,413,784,745,607,567,556,408,388,384,370,156,297,283,274,224,1654,226,214,191,156,141,130,126,143,121,75,68,68,66,67,65,61,56,54,52,41,40,39,33,32,35,27,24,21,19,0,22,597,16,12,0,9,33,9,7,0,11,7,6,7,1,0,0,6,6,5,5,0,0,0,0,39,4,2,5,3,3,3,3,1,3,2,0,0,2,0,2,16,0,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,38,0,1,1,24,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1
2017-02,110067,22784,21069,17231,10837,9912,7762,5901,5214,4652,3637,3267,3327,2795,1071,4029,1232,1191,1112,1019,966,415,785,746,607,567,557,411,389,385,373,156,302,285,276,230,1669,229,215,192,160,144,134,128,143,122,75,69,68,67,67,65,65,56,54,52,42,40,39,33,32,35,27,24,21,20,0,23,597,17,12,0,9,34,9,8,4,12,7,6,7,2,1,1,6,6,5,5,3,0,0,0,39,4,3,5,3,3,3,3,3,3,2,0,0,2,0,2,16,0,0,0,0,4,1,0,0,0,1,0,0,1,1,0,1,0,0,0,40,0,1,1,24,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1
2017-03,110507,22988,21170,17377,11008,9941,7845,5924,5244,4655,3682,3432,3446,2839,1072,4047,1244,1217,1127,1036,976,420,866,747,611,570,585,447,400,392,374,160,306,286,280,231,1709,231,217,196,160,145,135,129,144,124,74,69,68,67,68,65,66,56,54,53,45,40,39,34,32,35,27,24,21,20,0,23,598,17,12,0,9,35,9,8,4,12,7,6,7,2,1,1,6,6,5,5,3,0,1,0,39,4,3,5,3,3,3,3,3,3,2,0,0,2,0,2,16,0,0,0,0,5,1,0,0,0,1,0,0,1,1,0,1,0,0,0,41,0,1,1,25,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
2017-04,110737,23122,21232,17524,11052,9948,7914,5928,5255,4659,3695,3455,3462,2841,1073,4054,1249,1219,1137,1040,976,420,860,747,612,571,585,449,400,401,375,161,311,289,280,231,1710,234,217,198,160,145,135,131,146,126,74,69,68,67,68,65,67,56,54,53,47,40,39,35,32,36,27,24,21,20,0,23,598,17,12,0,9,35,9,8,4,12,7,6,7,2,1,1,6,6,5,5,3,0,1,0,39,4,5,5,3,3,3,3,3,3,2,0,0,2,0,2,16,0,0,0,0,5,1,0,0,0,1,0,0,1,1,0,1,0,0,0,42,0,1,1,25,1,1,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
2017-05,110828,23174,21266,17601,11117,9954,8326,5948,5283,4663,3743,3598,3544,2859,1073,4054,1255,1231,1175,1043,996,420,4,747,612,573,589,462,402,422,376,161,316,289,281,232,1728,240,222,203,160,145,135,157,148,131,74,69,70,67,68,65,67,56,55,62,47,40,40,36,32,36,27,24,21,20,0,23,598,18,12,0,9,35,9,8,4,12,7,6,7,2,1,1,6,6,5,5,3,0,1,0,39,4,5,5,3,3,3,3,3,3,2,0,0,2,0,2,16,0,0,0,0,5,1,0,0,0,1,0,0,1,1,0,1,0,0,0,42,0,1,1,25,1,1,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
2017-06,111228,23283,21611,17642,11595,9953,8409,5950,5288,4672,3762,3619,3547,2863,1072,4056,1259,1234,1181,1074,1016,421,4,747,613,574,590,463,711,422,377,161,317,293,284,233,1737,240,222,203,160,146,135,182,148,141,74,71,70,67,68,65,74,56,56,62,50,40,40,36,34,36,27,24,21,22,0,23,598,18,12,0,9,35,9,8,4,12,7,6,7,2,1,1,6,6,5,5,3,0,1,0,39,4,5,5,3,3,3,3,3,3,2,0,0,2,0,2,16,0,0,0,0,5,1,0,0,0,1,0,0,1,1,0,1,0,0,0,43,0,1,1,25,1,1,1,0,1,2,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1
